country,league,matchday,rk,squad,p,w,d,l,gf,ga,g_diff,pts
Spain,Games of Matchday 1 LaLiga 21/22 ,1,1,Real Madrid,1,1,0,0,4,1,3,3
Spain,Games of Matchday 1 LaLiga 21/22 ,1,2,Sevilla FC,1,1,0,0,3,0,3,3
Spain,Games of Matchday 1 LaLiga 21/22 ,1,3,Barcelona,1,1,0,0,4,2,2,3
Spain,Games of Matchday 1 LaLiga 21/22 ,1,4,Atlético Madrid,1,1,0,0,2,1,1,3
Spain,Games of Matchday 1 LaLiga 21/22 ,1,5,Valencia,1,1,0,0,1,0,1,3
Spain,Games of Matchday 1 LaLiga 21/22 ,1,6,Real Betis,1,0,1,0,1,1,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,7,RCD Mallorca,1,0,1,0,1,1,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,8,Levante,1,0,1,0,1,1,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,9,Cádiz CF,1,0,1,0,1,1,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,10,Elche CF,1,0,1,0,0,0,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,11,Villarreal,1,0,1,0,0,0,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,12,Espanyol,1,0,1,0,0,0,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,13,Athletic,1,0,1,0,0,0,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,14,CA Osasuna,1,0,1,0,0,0,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,15,Granada CF,1,0,1,0,0,0,0,1
Spain,Games of Matchday 1 LaLiga 21/22 ,1,16,Celta de Vigo,1,0,0,1,1,2,-1,0
Spain,Games of Matchday 1 LaLiga 21/22 ,1,17,Getafe,1,0,0,1,0,1,-1,0
Spain,Games of Matchday 1 LaLiga 21/22 ,1,18,Real Sociedad,1,0,0,1,2,4,-2,0
Spain,Games of Matchday 1 LaLiga 21/22 ,1,19,Alavés,1,0,0,1,1,4,-3,0
Spain,Games of Matchday 1 LaLiga 21/22 ,1,20,Rayo Vallecano,1,0,0,1,0,3,-3,0
Spain,Games of Matchday 2 LaLiga 21/22 ,2,1,Sevilla FC,2,2,0,0,4,0,4,6
Spain,Games of Matchday 2 LaLiga 21/22 ,2,2,Atlético Madrid,2,2,0,0,3,1,2,6
Spain,Games of Matchday 2 LaLiga 21/22 ,2,3,Real Madrid,2,1,1,0,7,4,3,4
Spain,Games of Matchday 2 LaLiga 21/22 ,2,4,Barcelona,2,1,1,0,5,3,2,4
Spain,Games of Matchday 2 LaLiga 21/22 ,2,5,RCD Mallorca,2,1,1,0,2,1,1,4
Spain,Games of Matchday 2 LaLiga 21/22 ,2,6,Valencia,2,1,1,0,2,1,1,4
Spain,Games of Matchday 2 LaLiga 21/22 ,2,7,Real Sociedad,2,1,0,1,3,4,-1,3
Spain,Games of Matchday 2 LaLiga 21/22 ,2,8,Cádiz CF,2,0,2,0,2,2,0,2
Spain,Games of Matchday 2 LaLiga 21/22 ,2,9,Villarreal,2,0,2,0,0,0,0,2
Spain,Games of Matchday 2 LaLiga 21/22 ,2,10,Espanyol,2,0,2,0,0,0,0,2
Spain,Games of Matchday 2 LaLiga 21/22 ,2,11,Levante,2,0,2,0,4,4,0,2
Spain,Games of Matchday 2 LaLiga 21/22 ,2,12,Real Betis,2,0,2,0,2,2,0,2
Spain,Games of Matchday 2 LaLiga 21/22 ,2,13,Granada CF,2,0,2,0,1,1,0,2
Spain,Games of Matchday 2 LaLiga 21/22 ,2,14,CA Osasuna,2,0,2,0,0,0,0,2
Spain,Games of Matchday 2 LaLiga 21/22 ,2,15,Athletic,2,0,2,0,1,1,0,2
Spain,Games of Matchday 2 LaLiga 21/22 ,2,16,Celta de Vigo,2,0,1,1,1,2,-1,1
Spain,Games of Matchday 2 LaLiga 21/22 ,2,17,Elche CF,2,0,1,1,0,1,-1,1
Spain,Games of Matchday 2 LaLiga 21/22 ,2,18,Getafe,2,0,0,2,0,2,-2,0
Spain,Games of Matchday 2 LaLiga 21/22 ,2,19,Alavés,2,0,0,2,1,5,-4,0
Spain,Games of Matchday 2 LaLiga 21/22 ,2,20,Rayo Vallecano,2,0,0,2,0,4,-4,0
Spain,Games of Matchday 3 LaLiga 21/22 ,3,1,Real Madrid,3,2,1,0,8,4,4,7
Spain,Games of Matchday 3 LaLiga 21/22 ,3,2,Sevilla FC,3,2,1,0,5,1,4,7
Spain,Games of Matchday 3 LaLiga 21/22 ,3,3,Valencia,3,2,1,0,5,1,4,7
Spain,Games of Matchday 3 LaLiga 21/22 ,3,4,Barcelona,3,2,1,0,7,4,3,7
Spain,Games of Matchday 3 LaLiga 21/22 ,3,5,Atlético Madrid,3,2,1,0,5,3,2,7
Spain,Games of Matchday 3 LaLiga 21/22 ,3,6,RCD Mallorca,3,2,1,0,3,1,2,7
Spain,Games of Matchday 3 LaLiga 21/22 ,3,7,Real Sociedad,3,2,0,1,4,4,0,6
Spain,Games of Matchday 3 LaLiga 21/22 ,3,8,CA Osasuna,3,1,2,0,3,2,1,5
Spain,Games of Matchday 3 LaLiga 21/22 ,3,9,Athletic,3,1,2,0,2,1,1,5
Spain,Games of Matchday 3 LaLiga 21/22 ,3,10,Rayo Vallecano,3,1,0,2,4,4,0,3
Spain,Games of Matchday 3 LaLiga 21/22 ,3,11,Villarreal,3,0,3,0,2,2,0,3
Spain,Games of Matchday 3 LaLiga 21/22 ,3,12,Cádiz CF,3,0,2,1,4,5,-1,2
Spain,Games of Matchday 3 LaLiga 21/22 ,3,13,Levante,3,0,2,1,4,5,-1,2
Spain,Games of Matchday 3 LaLiga 21/22 ,3,14,Real Betis,3,0,2,1,2,3,-1,2
Spain,Games of Matchday 3 LaLiga 21/22 ,3,15,Elche CF,3,0,2,1,1,2,-1,2
Spain,Games of Matchday 3 LaLiga 21/22 ,3,16,Espanyol,3,0,2,1,0,1,-1,2
Spain,Games of Matchday 3 LaLiga 21/22 ,3,17,Granada CF,3,0,2,1,1,5,-4,2
Spain,Games of Matchday 3 LaLiga 21/22 ,3,18,Celta de Vigo,3,0,1,2,1,3,-2,1
Spain,Games of Matchday 3 LaLiga 21/22 ,3,19,Getafe,3,0,0,3,1,4,-3,0
Spain,Games of Matchday 3 LaLiga 21/22 ,3,20,Alavés,3,0,0,3,1,8,-7,0
Spain,Games of Matchday 4 LaLiga 21/22 ,4,1,Real Madrid,4,3,1,0,13,6,7,10
Spain,Games of Matchday 4 LaLiga 21/22 ,4,2,Valencia,4,3,1,0,9,2,7,10
Spain,Games of Matchday 4 LaLiga 21/22 ,4,3,Atlético Madrid,4,3,1,0,7,4,3,10
Spain,Games of Matchday 4 LaLiga 21/22 ,4,4,Real Sociedad,4,3,0,1,6,4,2,9
Spain,Games of Matchday 4 LaLiga 21/22 ,4,5,Barcelona,4,2,2,0,8,5,3,8
Spain,Games of Matchday 4 LaLiga 21/22 ,4,6,Sevilla FC,4,2,2,0,6,2,4,8
Spain,Games of Matchday 4 LaLiga 21/22 ,4,7,Athletic,4,2,2,0,4,1,3,8
Spain,Games of Matchday 4 LaLiga 21/22 ,4,8,RCD Mallorca,4,2,1,1,3,3,0,7
Spain,Games of Matchday 4 LaLiga 21/22 ,4,9,Villarreal,4,1,3,0,7,4,3,6
Spain,Games of Matchday 4 LaLiga 21/22 ,4,10,Real Betis,4,1,2,1,4,4,0,5
Spain,Games of Matchday 4 LaLiga 21/22 ,4,11,Elche CF,4,1,2,1,2,2,0,5
Spain,Games of Matchday 4 LaLiga 21/22 ,4,12,CA Osasuna,4,1,2,1,4,6,-2,5
Spain,Games of Matchday 4 LaLiga 21/22 ,4,13,Rayo Vallecano,4,1,1,2,5,5,0,4
Spain,Games of Matchday 4 LaLiga 21/22 ,4,14,Levante,4,0,3,1,5,6,-1,3
Spain,Games of Matchday 4 LaLiga 21/22 ,4,15,Espanyol,4,0,2,2,1,3,-2,2
Spain,Games of Matchday 4 LaLiga 21/22 ,4,16,Cádiz CF,4,0,2,2,4,7,-3,2
Spain,Games of Matchday 4 LaLiga 21/22 ,4,17,Granada CF,4,0,2,2,2,7,-5,2
Spain,Games of Matchday 4 LaLiga 21/22 ,4,18,Celta de Vigo,4,0,1,3,3,8,-5,1
Spain,Games of Matchday 4 LaLiga 21/22 ,4,19,Getafe,4,0,0,4,1,5,-4,0
Spain,Games of Matchday 4 LaLiga 21/22 ,4,20,Alavés,4,0,0,4,3,13,-10,0
Spain,Games of Matchday 5 LaLiga 21/22 ,5,1,Real Madrid,5,4,1,0,15,7,8,13
Spain,Games of Matchday 5 LaLiga 21/22 ,5,2,Atlético Madrid,5,3,2,0,7,4,3,11
Spain,Games of Matchday 5 LaLiga 21/22 ,5,3,Valencia,5,3,1,1,10,4,6,10
Spain,Games of Matchday 5 LaLiga 21/22 ,5,4,Real Sociedad,5,3,1,1,6,4,2,10
Spain,Games of Matchday 5 LaLiga 21/22 ,5,5,Barcelona,5,2,3,0,9,6,3,9
Spain,Games of Matchday 5 LaLiga 21/22 ,5,6,Sevilla FC,5,2,3,0,6,2,4,9
Spain,Games of Matchday 5 LaLiga 21/22 ,5,7,Athletic,5,2,3,0,4,1,3,9
Spain,Games of Matchday 5 LaLiga 21/22 ,5,8,CA Osasuna,5,2,2,1,6,6,0,8
Spain,Games of Matchday 5 LaLiga 21/22 ,5,9,RCD Mallorca,5,2,2,1,3,3,0,8
Spain,Games of Matchday 5 LaLiga 21/22 ,5,10,Rayo Vallecano,5,2,1,2,8,5,3,7
Spain,Games of Matchday 5 LaLiga 21/22 ,5,11,Villarreal,5,1,4,0,7,4,3,7
Spain,Games of Matchday 5 LaLiga 21/22 ,5,12,Real Betis,5,1,3,1,6,6,0,6
Spain,Games of Matchday 5 LaLiga 21/22 ,5,13,Elche CF,5,1,3,1,3,3,0,6
Spain,Games of Matchday 5 LaLiga 21/22 ,5,14,Cádiz CF,5,1,2,2,6,8,-2,5
Spain,Games of Matchday 5 LaLiga 21/22 ,5,15,Levante,5,0,4,1,6,7,-1,4
Spain,Games of Matchday 5 LaLiga 21/22 ,5,16,Espanyol,5,0,3,2,3,5,-2,3
Spain,Games of Matchday 5 LaLiga 21/22 ,5,17,Granada CF,5,0,3,2,3,8,-5,3
Spain,Games of Matchday 5 LaLiga 21/22 ,5,18,Celta de Vigo,5,0,1,4,4,10,-6,1
Spain,Games of Matchday 5 LaLiga 21/22 ,5,19,Getafe,5,0,0,5,1,8,-7,0
Spain,Games of Matchday 5 LaLiga 21/22 ,5,20,Alavés,5,0,0,5,3,15,-12,0
Spain,Games of Matchday 6 LaLiga 21/22 ,6,1,Real Madrid,6,5,1,0,21,8,13,16
Spain,Games of Matchday 6 LaLiga 21/22 ,6,2,Atlético Madrid,6,4,2,0,9,5,4,14
Spain,Games of Matchday 6 LaLiga 21/22 ,6,3,Real Sociedad,6,4,1,1,9,6,3,13
Spain,Games of Matchday 6 LaLiga 21/22 ,6,4,Sevilla FC,6,3,3,0,9,3,6,12
Spain,Games of Matchday 6 LaLiga 21/22 ,6,5,Villarreal,6,2,4,0,11,5,6,10
Spain,Games of Matchday 6 LaLiga 21/22 ,6,6,Valencia,6,3,1,2,11,7,4,10
Spain,Games of Matchday 6 LaLiga 21/22 ,6,7,Rayo Vallecano,6,3,1,2,10,6,4,10
Spain,Games of Matchday 6 LaLiga 21/22 ,6,8,Barcelona,6,2,4,0,9,6,3,10
Spain,Games of Matchday 6 LaLiga 21/22 ,6,9,Real Betis,6,2,3,1,9,7,2,9
Spain,Games of Matchday 6 LaLiga 21/22 ,6,10,Athletic,6,2,3,1,5,3,2,9
Spain,Games of Matchday 6 LaLiga 21/22 ,6,11,CA Osasuna,6,2,2,2,7,9,-2,8
Spain,Games of Matchday 6 LaLiga 21/22 ,6,12,RCD Mallorca,6,2,2,2,4,9,-5,8
Spain,Games of Matchday 6 LaLiga 21/22 ,6,13,Espanyol,6,1,3,2,4,5,-1,6
Spain,Games of Matchday 6 LaLiga 21/22 ,6,14,Cádiz CF,6,1,3,2,6,8,-2,6
Spain,Games of Matchday 6 LaLiga 21/22 ,6,15,Elche CF,6,1,3,2,4,7,-3,6
Spain,Games of Matchday 6 LaLiga 21/22 ,6,16,Celta de Vigo,6,1,1,4,6,10,-4,4
Spain,Games of Matchday 6 LaLiga 21/22 ,6,17,Levante,6,0,4,2,6,9,-3,4
Spain,Games of Matchday 6 LaLiga 21/22 ,6,18,Granada CF,6,0,3,3,5,11,-6,3
Spain,Games of Matchday 6 LaLiga 21/22 ,6,19,Getafe,6,0,0,6,2,10,-8,0
Spain,Games of Matchday 6 LaLiga 21/22 ,6,20,Alavés,6,0,0,6,3,16,-13,0
Spain,Games of Matchday 7 LaLiga 21/22 ,7,1,Real Madrid,7,5,2,0,21,8,13,17
Spain,Games of Matchday 7 LaLiga 21/22 ,7,2,Real Sociedad,7,5,1,1,10,6,4,16
Spain,Games of Matchday 7 LaLiga 21/22 ,7,3,Sevilla FC,7,4,3,0,11,3,8,15
Spain,Games of Matchday 7 LaLiga 21/22 ,7,4,Atlético Madrid,7,4,2,1,9,6,3,14
Spain,Games of Matchday 7 LaLiga 21/22 ,7,5,Rayo Vallecano,7,4,1,2,13,7,6,13
Spain,Games of Matchday 7 LaLiga 21/22 ,7,6,Barcelona,7,3,4,0,12,6,6,13
Spain,Games of Matchday 7 LaLiga 21/22 ,7,7,Real Betis,7,3,3,1,11,7,4,12
Spain,Games of Matchday 7 LaLiga 21/22 ,7,8,Valencia,7,3,2,2,12,8,4,11
Spain,Games of Matchday 7 LaLiga 21/22 ,7,9,Villarreal,7,2,5,0,11,5,6,11
Spain,Games of Matchday 7 LaLiga 21/22 ,7,10,CA Osasuna,7,3,2,2,10,11,-1,11
Spain,Games of Matchday 7 LaLiga 21/22 ,7,11,Athletic,7,2,4,1,6,4,2,10
Spain,Games of Matchday 7 LaLiga 21/22 ,7,12,RCD Mallorca,7,2,2,3,6,12,-6,8
Spain,Games of Matchday 7 LaLiga 21/22 ,7,13,Celta de Vigo,7,2,1,4,7,10,-3,7
Spain,Games of Matchday 7 LaLiga 21/22 ,7,14,Espanyol,7,1,3,3,4,7,-3,6
Spain,Games of Matchday 7 LaLiga 21/22 ,7,15,Cádiz CF,7,1,3,3,7,11,-4,6
Spain,Games of Matchday 7 LaLiga 21/22 ,7,16,Elche CF,7,1,3,3,4,8,-4,6
Spain,Games of Matchday 7 LaLiga 21/22 ,7,17,Levante,7,0,4,3,6,12,-6,4
Spain,Games of Matchday 7 LaLiga 21/22 ,7,18,Granada CF,7,0,3,4,5,12,-7,3
Spain,Games of Matchday 7 LaLiga 21/22 ,7,19,Alavés,7,1,0,6,4,16,-12,3
Spain,Games of Matchday 7 LaLiga 21/22 ,7,20,Getafe,7,0,0,7,2,12,-10,0
Spain,Games of Matchday 8 LaLiga 21/22 ,8,1,Real Madrid,8,5,2,1,22,10,12,17
Spain,Games of Matchday 8 LaLiga 21/22 ,8,2,Atlético Madrid,8,5,2,1,11,6,5,17
Spain,Games of Matchday 8 LaLiga 21/22 ,8,3,Real Sociedad,8,5,2,1,11,7,4,17
Spain,Games of Matchday 8 LaLiga 21/22 ,8,4,Sevilla FC,8,4,3,1,11,4,7,15
Spain,Games of Matchday 8 LaLiga 21/22 ,8,5,Villarreal,8,3,5,0,13,5,8,14
Spain,Games of Matchday 8 LaLiga 21/22 ,8,6,CA Osasuna,8,4,2,2,11,11,0,14
Spain,Games of Matchday 8 LaLiga 21/22 ,8,7,Rayo Vallecano,8,4,1,3,13,8,5,13
Spain,Games of Matchday 8 LaLiga 21/22 ,8,8,Barcelona,8,3,4,1,12,8,4,13
Spain,Games of Matchday 8 LaLiga 21/22 ,8,9,Athletic,8,3,4,1,7,4,3,13
Spain,Games of Matchday 8 LaLiga 21/22 ,8,10,Valencia,8,3,3,2,12,8,4,12
Spain,Games of Matchday 8 LaLiga 21/22 ,8,11,Real Betis,8,3,3,2,11,9,2,12
Spain,Games of Matchday 8 LaLiga 21/22 ,8,12,RCD Mallorca,8,3,2,3,7,12,-5,11
Spain,Games of Matchday 8 LaLiga 21/22 ,8,13,Espanyol,8,2,3,3,6,8,-2,9
Spain,Games of Matchday 8 LaLiga 21/22 ,8,14,Elche CF,8,2,3,3,5,8,-3,9
Spain,Games of Matchday 8 LaLiga 21/22 ,8,15,Cádiz CF,8,1,4,3,7,11,-4,7
Spain,Games of Matchday 8 LaLiga 21/22 ,8,16,Celta de Vigo,8,2,1,5,7,11,-4,7
Spain,Games of Matchday 8 LaLiga 21/22 ,8,17,Granada CF,8,1,3,4,6,12,-6,6
Spain,Games of Matchday 8 LaLiga 21/22 ,8,18,Levante,8,0,4,4,6,13,-7,4
Spain,Games of Matchday 8 LaLiga 21/22 ,8,19,Alavés,8,1,0,7,4,17,-13,3
Spain,Games of Matchday 8 LaLiga 21/22 ,8,20,Getafe,8,0,1,7,3,13,-10,1
Spain,Games of Matchday 9 LaLiga 21/22 ,9,1,Real Madrid,9,6,2,1,23,10,13,20
Spain,Games of Matchday 9 LaLiga 21/22 ,9,2,Real Sociedad,9,6,2,1,12,7,5,20
Spain,Games of Matchday 9 LaLiga 21/22 ,9,3,Sevilla FC,9,5,3,1,12,4,8,18
Spain,Games of Matchday 9 LaLiga 21/22 ,9,4,Atlético Madrid,9,5,2,2,12,8,4,17
Spain,Games of Matchday 9 LaLiga 21/22 ,9,5,CA Osasuna,9,5,2,2,13,12,1,17
Spain,Games of Matchday 9 LaLiga 21/22 ,9,6,Rayo Vallecano,9,5,1,3,15,9,6,16
Spain,Games of Matchday 9 LaLiga 21/22 ,9,7,Barcelona,9,4,4,1,15,9,6,16
Spain,Games of Matchday 9 LaLiga 21/22 ,9,8,Real Betis,9,4,3,2,12,9,3,15
Spain,Games of Matchday 9 LaLiga 21/22 ,9,9,Villarreal,9,3,5,1,14,7,7,14
Spain,Games of Matchday 9 LaLiga 21/22 ,9,10,Athletic,9,3,4,2,7,5,2,13
Spain,Games of Matchday 9 LaLiga 21/22 ,9,11,Valencia,9,3,3,3,13,11,2,12
Spain,Games of Matchday 9 LaLiga 21/22 ,9,12,Espanyol,9,3,3,3,8,8,0,12
Spain,Games of Matchday 9 LaLiga 21/22 ,9,13,RCD Mallorca,9,3,2,4,7,13,-6,11
Spain,Games of Matchday 9 LaLiga 21/22 ,9,14,Elche CF,9,2,3,4,6,10,-4,9
Spain,Games of Matchday 9 LaLiga 21/22 ,9,15,Granada CF,9,2,3,4,8,13,-5,9
Spain,Games of Matchday 9 LaLiga 21/22 ,9,16,Cádiz CF,9,1,4,4,7,13,-6,7
Spain,Games of Matchday 9 LaLiga 21/22 ,9,17,Celta de Vigo,9,2,1,6,7,12,-5,7
Spain,Games of Matchday 9 LaLiga 21/22 ,9,18,Levante,9,0,5,4,6,13,-7,5
Spain,Games of Matchday 9 LaLiga 21/22 ,9,19,Alavés,9,1,0,8,4,18,-14,3
Spain,Games of Matchday 9 LaLiga 21/22 ,9,20,Getafe,9,0,2,7,3,13,-10,2
Spain,Games of Matchday 10 LaLiga 21/22 ,10,1,Real Madrid,10,7,2,1,25,11,14,23
Spain,Games of Matchday 10 LaLiga 21/22 ,10,2,Sevilla FC,10,6,3,1,17,7,10,21
Spain,Games of Matchday 10 LaLiga 21/22 ,10,3,Real Sociedad,10,6,3,1,14,9,5,21
Spain,Games of Matchday 10 LaLiga 21/22 ,10,4,Real Betis,10,5,3,2,15,11,4,18
Spain,Games of Matchday 10 LaLiga 21/22 ,10,5,Atlético Madrid,10,5,3,2,14,10,4,18
Spain,Games of Matchday 10 LaLiga 21/22 ,10,6,CA Osasuna,10,5,3,2,14,13,1,18
Spain,Games of Matchday 10 LaLiga 21/22 ,10,7,Rayo Vallecano,10,5,1,4,17,12,5,16
Spain,Games of Matchday 10 LaLiga 21/22 ,10,8,Barcelona,10,4,4,2,16,11,5,16
Spain,Games of Matchday 10 LaLiga 21/22 ,10,9,Athletic,10,4,4,2,9,6,3,16
Spain,Games of Matchday 10 LaLiga 21/22 ,10,10,Villarreal,10,3,5,2,15,9,6,14
Spain,Games of Matchday 10 LaLiga 21/22 ,10,11,Valencia,10,3,4,3,15,13,2,13
Spain,Games of Matchday 10 LaLiga 21/22 ,10,12,Espanyol,10,3,4,3,10,10,0,13
Spain,Games of Matchday 10 LaLiga 21/22 ,10,13,RCD Mallorca,10,3,3,4,9,15,-6,12
Spain,Games of Matchday 10 LaLiga 21/22 ,10,14,Celta de Vigo,10,3,1,6,10,12,-2,10
Spain,Games of Matchday 10 LaLiga 21/22 ,10,15,Elche CF,10,2,4,4,8,12,-4,10
Spain,Games of Matchday 10 LaLiga 21/22 ,10,16,Granada CF,10,2,4,4,9,14,-5,10
Spain,Games of Matchday 10 LaLiga 21/22 ,10,17,Cádiz CF,10,1,4,5,7,15,-8,7
Spain,Games of Matchday 10 LaLiga 21/22 ,10,18,Alavés,10,2,0,8,6,18,-12,6
Spain,Games of Matchday 10 LaLiga 21/22 ,10,19,Levante,10,0,5,5,9,18,-9,5
Spain,Games of Matchday 10 LaLiga 21/22 ,10,20,Getafe,10,0,2,8,3,16,-13,2
Spain,Games of Matchday 11 LaLiga 21/22 ,11,1,Real Madrid,11,7,3,1,25,11,14,24
Spain,Games of Matchday 11 LaLiga 21/22 ,11,2,Real Sociedad,11,7,3,1,16,9,7,24
Spain,Games of Matchday 11 LaLiga 21/22 ,11,3,Sevilla FC,11,6,4,1,18,8,10,22
Spain,Games of Matchday 11 LaLiga 21/22 ,11,4,Real Betis,11,6,3,2,19,12,7,21
Spain,Games of Matchday 11 LaLiga 21/22 ,11,5,CA Osasuna,11,5,4,2,14,13,1,19
Spain,Games of Matchday 11 LaLiga 21/22 ,11,6,Rayo Vallecano,11,6,1,4,18,12,6,19
Spain,Games of Matchday 11 LaLiga 21/22 ,11,7,Atlético Madrid,11,5,4,2,16,12,4,19
Spain,Games of Matchday 11 LaLiga 21/22 ,11,8,Athletic,11,4,5,2,10,7,3,17
Spain,Games of Matchday 11 LaLiga 21/22 ,11,9,Barcelona,11,4,4,3,16,12,4,16
Spain,Games of Matchday 11 LaLiga 21/22 ,11,10,Villarreal,11,3,6,2,18,12,6,15
Spain,Games of Matchday 11 LaLiga 21/22 ,11,11,Espanyol,11,3,5,3,11,11,0,14
Spain,Games of Matchday 11 LaLiga 21/22 ,11,12,Valencia,11,3,4,4,16,17,-1,13
Spain,Games of Matchday 11 LaLiga 21/22 ,11,13,RCD Mallorca,11,3,4,4,10,16,-6,13
Spain,Games of Matchday 11 LaLiga 21/22 ,11,14,Granada CF,11,2,5,4,10,15,-5,11
Spain,Games of Matchday 11 LaLiga 21/22 ,11,15,Elche CF,11,2,4,5,8,13,-5,10
Spain,Games of Matchday 11 LaLiga 21/22 ,11,16,Celta de Vigo,11,3,1,7,10,14,-4,10
Spain,Games of Matchday 11 LaLiga 21/22 ,11,17,Alavés,11,3,0,8,7,18,-11,9
Spain,Games of Matchday 11 LaLiga 21/22 ,11,18,Cádiz CF,11,1,5,5,10,18,-8,8
Spain,Games of Matchday 11 LaLiga 21/22 ,11,19,Levante,11,0,6,5,11,20,-9,6
Spain,Games of Matchday 11 LaLiga 21/22 ,11,20,Getafe,11,0,3,8,4,17,-13,3
Spain,Games of Matchday 12 LaLiga 21/22 ,12,1,Real Madrid,12,8,3,1,27,12,15,27
Spain,Games of Matchday 12 LaLiga 21/22 ,12,2,Sevilla FC,12,7,4,1,20,8,12,25
Spain,Games of Matchday 12 LaLiga 21/22 ,12,3,Real Sociedad,12,7,4,1,17,10,7,25
Spain,Games of Matchday 12 LaLiga 21/22 ,12,4,Atlético Madrid,12,6,4,2,19,12,7,22
Spain,Games of Matchday 12 LaLiga 21/22 ,12,5,Real Betis,12,6,3,3,19,15,4,21
Spain,Games of Matchday 12 LaLiga 21/22 ,12,6,Rayo Vallecano,12,6,2,4,18,12,6,20
Spain,Games of Matchday 12 LaLiga 21/22 ,12,7,CA Osasuna,12,5,4,3,14,15,-1,19
Spain,Games of Matchday 12 LaLiga 21/22 ,12,8,Athletic,12,4,6,2,11,8,3,18
Spain,Games of Matchday 12 LaLiga 21/22 ,12,9,Barcelona,12,4,5,3,17,13,4,17
Spain,Games of Matchday 12 LaLiga 21/22 ,12,10,Valencia,12,4,4,4,18,17,1,16
